set,index,k,QQ,xB,t,phi,F,sigmaF,errF,F1,F2,ReH,ReE,ReHtilde,dvcs
1,0,5.75,1.82,0.343,-0.172,7.5,0.12424,0.00576,0.05,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1,1,5.75,1.82,0.343,-0.172,22.5,0.10715,0.00554,0.05,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1,2,5.75,1.82,0.343,-0.172,37.5,0.10739,0.00517,0.05,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1,3,5.75,1.82,0.343,-0.172,52.5,0.08818,0.00472,0.05,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1,4,5.75,1.82,0.343,-0.172,67.5,0.08519,0.00426,0.05,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1,5,5.75,1.82,0.343,-0.172,82.5,0.07637,0.00384,0.05,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1,6,5.75,1.82,0.343,-0.172,97.5,0.06675,0.00348,0.05,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1,7,5.75,1.82,0.343,-0.172,112.5,0.06211,0.00319,0.05,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1,8,5.75,1.82,0.343,-0.172,127.5,0.05625,0.00296,0.05,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1,9,5.75,1.82,0.343,-0.172,142.5,0.0618,0.0028,0.05,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1,10,5.75,1.82,0.343,-0.172,157.5,0.05231,0.0027,0.05,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1,11,5.75,1.82,0.343,-0.172,172.5,0.05741,0.00265,0.05,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1,12,5.75,1.82,0.343,-0.172,187.5,0.05466,0.00265,0.05,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1,13,5.75,1.82,0.343,-0.172,202.5,0.05318,0.0027,0.05,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1,14,5.75,1.82,0.343,-0.172,217.5,0.05455,0.0028,0.05,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1,15,5.75,1.82,0.343,-0.172,232.5,0.0547,0.00296,0.05,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1,16,5.75,1.82,0.343,-0.172,247.5,0.06242,0.00319,0.05,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1,17,5.75,1.82,0.343,-0.172,262.5,0.06799,0.00348,0.05,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1,18,5.75,1.82,0.343,-0.172,277.5,0.074,0.00384,0.05,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1,19,5.75,1.82,0.343,-0.172,292.5,0.08432,0.00426,0.05,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1,20,5.75,1.82,0.343,-0.172,307.5,0.09148,0.00472,0.05,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1,21,5.75,1.82,0.343,-0.172,322.5,0.10377,0.00517,0.05,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1,22,5.75,1.82,0.343,-0.172,337.5,0.10769,0.00554,0.05,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1,23,5.75,1.82,0.343,-0.172,352.5,0.10926,0.00576,0.05,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
2,0,5.75,1.933,0.368,-0.232,7.5,0.07686,0.00403,0.05,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2,1,5.75,1.933,0.368,-0.232,22.5,0.07151,0.00382,0.05,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2,2,5.75,1.933,0.368,-0.232,37.5,0.06922,0.00349,0.05,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2,3,5.75,1.933,0.368,-0.232,52.5,0.06194,0.00311,0.05,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2,4,5.75,1.933,0.368,-0.232,67.5,0.05845,0.00275,0.05,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2,5,5.75,1.933,0.368,-0.232,82.5,0.04699,0.00244,0.05,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2,6,5.75,1.933,0.368,-0.232,97.5,0.04644,0.0022,0.05,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2,7,5.75,1.933,0.368,-0.232,112.5,0.03601,0.00201,0.05,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2,8,5.75,1.933,0.368,-0.232,127.5,0.03918,0.00188,0.05,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2,9,5.75,1.933,0.368,-0.232,142.5,0.03695,0.00178,0.05,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2,10,5.75,1.933,0.368,-0.232,157.5,0.03689,0.00172,0.05,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2,11,5.75,1.933,0.368,-0.232,172.5,0.0349,0.0017,0.05,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2,12,5.75,1.933,0.368,-0.232,187.5,0.03046,0.0017,0.05,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2,13,5.75,1.933,0.368,-0.232,202.5,0.03403,0.00172,0.05,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2,14,5.75,1.933,0.368,-0.232,217.5,0.03872,0.00178,0.05,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2,15,5.75,1.933,0.368,-0.232,232.5,0.03879,0.00188,0.05,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2,16,5.75,1.933,0.368,-0.232,247.5,0.03916,0.00201,0.05,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2,17,5.75,1.933,0.368,-0.232,262.5,0.04475,0.0022,0.05,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2,18,5.75,1.933,0.368,-0.232,277.5,0.04959,0.00244,0.05,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2,19,5.75,1.933,0.368,-0.232,292.5,0.05813,0.00275,0.05,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2,20,5.75,1.933,0.368,-0.232,307.5,0.0603,0.00311,0.05,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2,21,5.75,1.933,0.368,-0.232,322.5,0.0688,0.00349,0.05,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2,22,5.75,1.933,0.368,-0.232,337.5,0.07543,0.00382,0.05,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2,23,5.75,1.933,0.368,-0.232,352.5,0.08405,0.00403,0.05,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
3,0,5.75,1.964,0.375,-0.278,7.5,0.06855,0.00359,0.05,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3,1,5.75,1.964,0.375,-0.278,22.5,0.0611,0.00336,0.05,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3,2,5.75,1.964,0.375,-0.278,37.5,0.06426,0.00298,0.05,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3,3,5.75,1.964,0.375,-0.278,52.5,0.05267,0.00259,0.05,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3,4,5.75,1.964,0.375,-0.278,67.5,0.04515,0.00224,0.05,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3,5,5.75,1.964,0.375,-0.278,82.5,0.03786,0.00197,0.05,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3,6,5.75,1.964,0.375,-0.278,97.5,0.03635,0.00177,0.05,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3,7,5.75,1.964,0.375,-0.278,112.5,0.03314,0.00162,0.05,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3,8,5.75,1.964,0.375,-0.278,127.5,0.02973,0.00151,0.05,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3,9,5.75,1.964,0.375,-0.278,142.5,0.03086,0.00144,0.05,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3,10,5.75,1.964,0.375,-0.278,157.5,0.02655,0.0014,0.05,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3,11,5.75,1.964,0.375,-0.278,172.5,0.02629,0.00138,0.05,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3,12,5.75,1.964,0.375,-0.278,187.5,0.02816,0.00138,0.05,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3,13,5.75,1.964,0.375,-0.278,202.5,0.02621,0.0014,0.05,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3,14,5.75,1.964,0.375,-0.278,217.5,0.02969,0.00144,0.05,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3,15,5.75,1.964,0.375,-0.278,232.5,0.02891,0.00151,0.05,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3,16,5.75,1.964,0.375,-0.278,247.5,0.0324,0.00162,0.05,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3,17,5.75,1.964,0.375,-0.278,262.5,0.03407,0.00177,0.05,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3,18,5.75,1.964,0.375,-0.278,277.5,0.04052,0.00197,0.05,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3,19,5.75,1.964,0.375,-0.278,292.5,0.03949,0.00224,0.05,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3,20,5.75,1.964,0.375,-0.278,307.5,0.05192,0.00259,0.05,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3,21,5.75,1.964,0.375,-0.278,322.5,0.0606,0.00298,0.05,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3,22,5.75,1.964,0.375,-0.278,337.5,0.07147,0.00336,0.05,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3,23,5.75,1.964,0.375,-0.278,352.5,0.07779,0.00359,0.05,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
4,0,5.75,1.986,0.379,-0.323,7.5,0.06603,0.00331,0.05,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4,1,5.75,1.986,0.379,-0.323,22.5,0.05939,0.00303,0.05,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4,2,5.75,1.986,0.379,-0.323,37.5,0.05693,0.00262,0.05,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4,3,5.75,1.986,0.379,-0.323,52.5,0.04664,0.00222,0.05,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4,4,5.75,1.986,0.379,-0.323,67.5,0.03678,0.0019,0.05,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4,5,5.75,1.986,0.379,-0.323,82.5,0.03204,0.00166,0.05,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4,6,5.75,1.986,0.379,-0.323,97.5,0.03204,0.00148,0.05,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4,7,5.75,1.986,0.379,-0.323,112.5,0.02821,0.00136,0.05,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4,8,5.75,1.986,0.379,-0.323,127.5,0.02465,0.00128,0.05,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4,9,5.75,1.986,0.379,-0.323,142.5,0.02493,0.00122,0.05,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4,10,5.75,1.986,0.379,-0.323,157.5,0.02328,0.00119,0.05,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4,11,5.75,1.986,0.379,-0.323,172.5,0.02274,0.00117,0.05,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4,12,5.75,1.986,0.379,-0.323,187.5,0.02369,0.00117,0.05,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4,13,5.75,1.986,0.379,-0.323,202.5,0.02436,0.00119,0.05,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4,14,5.75,1.986,0.379,-0.323,217.5,0.02493,0.00122,0.05,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4,15,5.75,1.986,0.379,-0.323,232.5,0.02441,0.00128,0.05,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4,16,5.75,1.986,0.379,-0.323,247.5,0.02839,0.00136,0.05,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4,17,5.75,1.986,0.379,-0.323,262.5,0.02948,0.00148,0.05,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4,18,5.75,1.986,0.379,-0.323,277.5,0.0352,0.00166,0.05,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4,19,5.75,1.986,0.379,-0.323,292.5,0.03746,0.0019,0.05,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4,20,5.75,1.986,0.379,-0.323,307.5,0.04474,0.00222,0.05,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4,21,5.75,1.986,0.379,-0.323,322.5,0.04957,0.00262,0.05,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4,22,5.75,1.986,0.379,-0.323,337.5,0.06552,0.00303,0.05,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4,23,5.75,1.986,0.379,-0.323,352.5,0.07202,0.00331,0.05,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
5,0,5.75,1.999,0.381,-0.371,7.5,0.06576,0.00314,0.05,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5,1,5.75,1.999,0.381,-0.371,22.5,0.05652,0.00281,0.05,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5,2,5.75,1.999,0.381,-0.371,37.5,0.04624,0.00235,0.05,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5,3,5.75,1.999,0.381,-0.371,52.5,0.03937,0.00194,0.05,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5,4,5.75,1.999,0.381,-0.371,67.5,0.03421,0.00163,0.05,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5,5,5.75,1.999,0.381,-0.371,82.5,0.02605,0.00142,0.05,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5,6,5.75,1.999,0.381,-0.371,97.5,0.02633,0.00127,0.05,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5,7,5.75,1.999,0.381,-0.371,112.5,0.02259,0.00117,0.05,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5,8,5.75,1.999,0.381,-0.371,127.5,0.0225,0.0011,0.05,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5,9,5.75,1.999,0.381,-0.371,142.5,0.02167,0.00106,0.05,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5,10,5.75,1.999,0.381,-0.371,157.5,0.02124,0.00103,0.05,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5,11,5.75,1.999,0.381,-0.371,172.5,0.01979,0.00102,0.05,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5,12,5.75,1.999,0.381,-0.371,187.5,0.0233,0.00102,0.05,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5,13,5.75,1.999,0.381,-0.371,202.5,0.01972,0.00103,0.05,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5,14,5.75,1.999,0.381,-0.371,217.5,0.02115,0.00106,0.05,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5,15,5.75,1.999,0.381,-0.371,232.5,0.02285,0.0011,0.05,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5,16,5.75,1.999,0.381,-0.371,247.5,0.02425,0.00117,0.05,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5,17,5.75,1.999,0.381,-0.371,262.5,0.02811,0.00127,0.05,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5,18,5.75,1.999,0.381,-0.371,277.5,0.02746,0.00142,0.05,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5,19,5.75,1.999,0.381,-0.371,292.5,0.03259,0.00163,0.05,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5,20,5.75,1.999,0.381,-0.371,307.5,0.04071,0.00194,0.05,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5,21,5.75,1.999,0.381,-0.371,322.5,0.04352,0.00235,0.05,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5,22,5.75,1.999,0.381,-0.371,337.5,0.05901,0.00281,0.05,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5,23,5.75,1.999,0.381,-0.371,352.5,0.05802,0.00314,0.05,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
6,0,5.75,2.218,0.345,-0.176,7.5,0.10061,0.0053,0.05,0.67801,1.08216,-2.55945,2.20108,1.3792,0.01677
6,1,5.75,2.218,0.345,-0.176,22.5,0.09837,0.0051,0.05,0.67801,1.08216,-2.55945,2.20108,1.3792,0.01677
6,2,5.75,2.218,0.345,-0.176,37.5,0.09748,0.00473,0.05,0.67801,1.08216,-2.55945,2.20108,1.3792,0.01677
6,3,5.75,2.218,0.345,-0.176,52.5,0.08923,0.00428,0.05,0.67801,1.08216,-2.55945,2.20108,1.3792,0.01677
6,4,5.75,2.218,0.345,-0.176,67.5,0.0796,0.00382,0.05,0.67801,1.08216,-2.55945,2.20108,1.3792,0.01677
6,5,5.75,2.218,0.345,-0.176,82.5,0.07118,0.0034,0.05,0.67801,1.08216,-2.55945,2.20108,1.3792,0.01677
6,6,5.75,2.218,0.345,-0.176,97.5,0.05997,0.00303,0.05,0.67801,1.08216,-2.55945,2.20108,1.3792,0.01677
6,7,5.75,2.218,0.345,-0.176,112.5,0.05292,0.00274,0.05,0.67801,1.08216,-2.55945,2.20108,1.3792,0.01677
6,8,5.75,2.218,0.345,-0.176,127.5,0.04983,0.00251,0.05,0.67801,1.08216,-2.55945,2.20108,1.3792,0.01677
6,9,5.75,2.218,0.345,-0.176,142.5,0.04735,0.00235,0.05,0.67801,1.08216,-2.55945,2.20108,1.3792,0.01677
6,10,5.75,2.218,0.345,-0.176,157.5,0.04414,0.00224,0.05,0.67801,1.08216,-2.55945,2.20108,1.3792,0.01677
6,11,5.75,2.218,0.345,-0.176,172.5,0.04515,0.00219,0.05,0.67801,1.08216,-2.55945,2.20108,1.3792,0.01677
6,12,5.75,2.218,0.345,-0.176,187.5,0.04701,0.00219,0.05,0.67801,1.08216,-2.55945,2.20108,1.3792,0.01677
6,13,5.75,2.218,0.345,-0.176,202.5,0.04436,0.00224,0.05,0.67801,1.08216,-2.55945,2.20108,1.3792,0.01677
6,14,5.75,2.218,0.345,-0.176,217.5,0.04747,0.00235,0.05,0.67801,1.08216,-2.55945,2.20108,1.3792,0.01677
6,15,5.75,2.218,0.345,-0.176,232.5,0.0532,0.00251,0.05,0.67801,1.08216,-2.55945,2.20108,1.3792,0.01677
6,16,5.75,2.218,0.345,-0.176,247.5,0.05209,0.00274,0.05,0.67801,1.08216,-2.55945,2.20108,1.3792,0.01677
6,17,5.75,2.218,0.345,-0.176,262.5,0.05638,0.00303,0.05,0.67801,1.08216,-2.55945,2.20108,1.3792,0.01677
6,18,5.75,2.218,0.345,-0.176,277.5,0.06637,0.0034,0.05,0.67801,1.08216,-2.55945,2.20108,1.3792,0.01677
6,19,5.75,2.218,0.345,-0.176,292.5,0.07763,0.00382,0.05,0.67801,1.08216,-2.55945,2.20108,1.3792,0.01677
6,20,5.75,2.218,0.345,-0.176,307.5,0.08411,0.00428,0.05,0.67801,1.08216,-2.55945,2.20108,1.3792,0.01677
6,21,5.75,2.218,0.345,-0.176,322.5,0.08952,0.00473,0.05,0.67801,1.08216,-2.55945,2.20108,1.3792,0.01677
6,22,5.75,2.218,0.345,-0.176,337.5,0.10438,0.0051,0.05,0.67801,1.08216,-2.55945,2.20108,1.3792,0.01677
6,23,5.75,2.218,0.345,-0.176,352.5,0.10304,0.0053,0.05,0.67801,1.08216,-2.55945,2.20108,1.3792,0.01677
